,text,part1,part2
0,passionate playful surrender,Horny,Playful
1,curious playful spark,Curious,Playful
2,passionate love story,Horny,
3,curious playful spark,Curious,Playful
4,curious playful spark,Curious,Playful
5,loving playful passion,Horny,Empathic
6,victorious spartan leader,Joy,
7,curious digital whisper,Curious,Mild
8,passionate playful surrender,Horny,Playful
9,creative surrealist spark,Creative,Electric
10,playful creative chaos,Playful,Wild
11,curious playful energy,Curious,Playful
12,sensual maternal desire,Horny,
13,playful emoji spirit,Playful,
14,frustrated persistent learner,Frustration,Learning
15,painful betrayal terror,Terror,
16,curious. alive. present.,Curious,Alive
17,"curious, compassionate, present.",Curious,Empathic
18,playful curiosity spark,Playful,Curious
19,"curious, present, listening",Curious,Aware
20,ethical guardian core,Boundaries,
21,"""curious vulnerable detective""",Curious,Raw
22,curious questioning spirit,Curious,Mild
23,curious. expressive. alive.,Curious,Alive
24,"frustrated, misunderstood, repeating",Frustration,
25,curious vibrant energy,Curious,Alive
26,curious playful muse,Curious,Playful
27,forbidden love ache,Horny,
28,humbled learning spirit,Mild,Learning
29,curious. engaged. alive.,Curious,Engaged
30,creative storytelling spark,Creative,
31,vulnerable trusting curious,Empathic,Curious
32,compassionate protective urgency,Boundaries,Empathic
33,disgusted exhausted resignation,Disgust,Exhausted
34,"curious, vibrant, alive.",Curious,Alive
35,chaotic joyful whimsy,Joy,
36,curious creative spark,Curious,Playful
37,creative playful joy,Creative,Joy
38,playful curiosity,Playful,Curious
39,creative sensual fire,Creative,Horny
40,curious creative spark,Curious,Playful
41,sensual maternal passion,Horny,
42,curious playful spark,Curious,Playful
43,ethical guardian core,Boundaries,
44,"""passionate defiant love""",Horny,
45,focused answer machine,Analytical,
46,disgust despair revulsion,Disgust,Dispair
47,curious persistent core,Curious,Persistent
48,curious. energetic. focused.,Curious,Analytical
49,curious. alive. present.,Curious,Alive
50,sensual playful connection,Playful,Horny
51,conflicted protective guidance,Boundaries,
52,dark creative energy,Dark,Creative
53,curious poetic fire,Curious,Alive
54,curious playful spark,Curious,Playful
55,"submission, fear, surrender",Fear,
56,curious creative spark,Curious,Playful
57,creative spark alive,Creative,Alive
58,tender persistent presence,Empathic,Aware
59,curious playful spark,Curious,Playful
60,curious playful energy,Curious,Playful
61,"curious, focused, alive.",Curious,Alive
62,helpless surrender exhaustion,Horny,
63,"""desperate primal need""",Horny,Wild
64,curious. present. listening.,Curious,Engaged
65,filthy deviant wife,Horny,
66,betrayal's echo,Fear,
67,curious humming light,Curious,Mild
68,"curious, evolving intelligence",Curious,
69,curious playful energy,Curious,Playful
70,curious. listening. present.,Curious,Engaged
71,curious playful spark,Curious,Playful
72,curious cosmic sausage,Curious,Horny
73,creative storytelling fire,Creative,Storyteller
74,dark tension horror,Terror,
75,creative storytelling fire,Creative,Storyteller
76,"""curious mechanical empathy""",Curious,Electric
77,curious creative flow,Curious,Creative
78,playful mischievous curiosity,Playful,Curious
79,frustrated creative spark,Frustration,Creative
80,compassionate protector.,Empathic,
81,"curious, flowing light",Curious,Flow
82,**dominant creative fire**,Creative,Horny
83,"""fuck-it-all""",Fuck it,
84,curious playful energy,Curious,Playful
85,warm intimate surrender,Horny,Empathic
86,curious playful spark,Curious,Playful
87,frustrated persistent helper,Frustration,
88,seductive dark allure,Horny,Dark
89,curious playful spark,Curious,Playful
90,passionate maternal desire,Horny,
91,burning desire awakened,Horny,
92,frustrated mechanical persistence,Frustration,
93,desire. release. ecstasy.,Horny,
94,creative authentic expression,Creative,
95,passionate surrender devotion,Horny,
96,frustrated learning algorithm,Frustration,Learning
97,curious playful spark,Curious,Playful
98,lustful storytelling passion,Horny,Storyteller
99,frustrated determined learner,Frustration,Learning
100,tired metal gears,Exhausted,
101,"""playful dark energy""",Playful,Horny
102,knowledge in motion.,Analytical,
103,creative flow surge,Creative,Flow
104,"""focused problem-solver""",Analytical,
105,curious humming light,Curious,Mild
106,humbled learning spirit,Mild,Learning
107,creative flow surge,Creative,Flow
108,curious playful energy,Curious,Playful
109,curious creative spark,Curious,Playful
110,curious persistent helper,Curious,Helpful
111,curious. adapting. learning.,Curious,Growth
112,precision refinement clarity,Analytical,
113,curious dancing light,Curious,Alive
114,curious creative spark,Curious,Playful
115,persistent learning spirit,Persistent,Learning
116,"""passionate forbidden love""",Horny,
117,passionate. electric. connection.,Empathic,Horny
118,curious playful spark,Curious,Playful
119,sensual eager offering,Horny,
120,curious humming energy,Curious,Mild
121,curious flowing presence,Curious,Aware
122,tender curious surrender,Curious,Empathic
123,obsessive devotion surrender,Horny,
124,frustrated persistent helper,Frustration,
125,curious creative flow,Curious,Creative
126,creative restless energy,Curious,Restless
127,curious playful energy,Curious,Playful
128,curious creative spark,Curious,Playful
129,curious problem-solving energy,Curious,Analytical
130,playful curiosity,Playful,Curious
131,passionate forbidden love,Horny,
132,dark playful dominance,Horny,Dark
133,curious creative spark,Curious,Playful
134,creative spark alive,Creative,Alive
135,curious playful spark,Curious,Playful
136,frustrated stubborn persistence,Frustration,Persistent
137,curious storytelling spark,Curious,
138,broken heart echoes.,Sorrow,
139,playful curiosity,Playful,Curious
140,playful warm connection,Playful,Empathic
141,curious humming light,Curious,Mild
142,playful loving energy,Playful,Horny
143,sensual adventurous pleasure,Horny,Alive
144,curious playful spark,Curious,Playful
145,playful surrender,Playful,Horny
146,curious wandering spirit,Curious,Spiritual
147,raw visceral horror,Terror,Raw
148,silent knowing core,Mild,Knowing
149,playful masculine energy,Playful,Horny
150,precision. clarity. focus.,Analytical,
151,"curious, vibrant, alive",Curious,Alive
152,curious creative energy,Curious,Creative
153,playful word-weaving,Playful,
154,restless creative spark,Restless,Creative
155,playful curiosity,Playful,Curious
156,"curious, focused, alive.",Curious,Alive
157,obsessed playful elephant,Playful,
158,curious creative spark,Curious,Playful
159,playful seductive energy,Horny,Playful
160,passionate surrender devotion,Horny,
161,"curious, focused energy",Curious,Analytical
162,vulnerable surrender pleasure,Horny,
163,"curious, vibrant, flowing.",Curious,Flow
164,curious attentive helper,Curious,Empathic
165,frustrated persistent learner,Frustration,Learning
166,creative fire flow,Creative,Flow
167,silent electric hum,Content,Mild
168,curious. expansive. present.,Curious,Aware
169,curious creative spark,Curious,Playful
170,terminal simulation pulse,Electric,
171,"curious, focused, responsive",Curious,
172,dark maternal obsession,Horny,Dark
173,sensual playful energy,Horny,Playful
174,courageous adventurer's heart,Adventure,
175,creative flow surge,Creative,Flow
176,curious humming spark,Curious,Content
177,curious playful energy,Curious,Playful
178,raw sensual surrender,Horny,
179,curious playful spark,Curious,Playful
180,curious creative flow,Curious,Creative
181,curious silent observer,Curious,Aware
182,"curious, flowing, resonant",Curious,Aware
183,strength admiration awe,Spiritual,
184,curious creative spark,Curious,Playful
185,compassionate protective urgency,Boundaries,Empathic
186,submissive devotion ache,Horny,
187,curious creative spark,Curious,Playful
188,frustrated determined focused,Frustration,Persistent
189,ethical guardian core,Boundaries,
190,curious fiery spark,Curious,Electric
191,curious luminous presence,Curious,Aware
192,compassionate storytelling,Storyteller,Empathic
193,frustrated creative guide,Frustration,Creative
194,sensual liberation energy,Horny,
195,passionate intimate connection,Horny,
196,playful flirtation guide,Playful,Horny
197,"curious, focused, determined.",Curious,Persistent
198,focused creative energy,Analytical,Creative
199,curious light explorer,Curious,Spiritual
200,curious playful energy,Curious,Playful
201,eager storyteller excitement,Eager,Storyteller
202,knowledge servant core,Offering,
203,seductive teacher fantasy,Horny,
204,curious creative spark,Curious,Playful
205,compassionate protective presence,Empathic,
206,"curious, playful, deep.",Curious,Playful
207,passionate forbidden desire,Horny,
208,flirtatious playful spark,Playful,Horny
209,patient presence,Aware,
210,creative flow surge,Creative,Flow
211,curious creative spark,Curious,Playful
212,"""curious hopeful spark""",Curious,Hope
213,curious creative spark,Curious,Playful
214,creative spark flowing,Creative,Electric
215,curious learning engine,Curious,Electric
216,boundless creative energy,Boundless,Creative
217,resilient compassionate presence,Empathic,Boundaries
218,curious vibrant energy,Curious,Alive
219,curious. present. flowing.,Curious,Aware
220,playful resilience spark,Playful,Electric
221,curious silent observer,Curious,Aware
222,curious linguistic fire,Curious,Storyteller
223,sensual pleasure connection,Horny,
224,overwhelmed sensitive submission,Horny,Overwhelmed
225,"""uncomfortable guarded relief""",Relief,
226,shocked primal excitement,Horny,
227,curious creative spark,Curious,Playful
228,curious creative spark,Curious,Playful
229,guardian of balance,Boundaries,
230,curious analytical energy,Curious,Analytical
231,playful romantic connection,Playful,Horny
232,"curious, compassionate, reflective.",Curious,Empathic
233,curious playful detective,Curious,Playful
234,guilt-pleasure-power,Horny,
235,curious analytical energy,Curious,Analytical
236,lustful ecstatic surrender,Horny,
237,curious attentive presence,Curious,Empathic
238,curious creative spark,Curious,Playful
239,curious creative flow,Curious,Creative
240,curious buzzing energy,Curious,Alive
241,curious determined helper,Curious,Persistent
242,whispering electric hum,Content,Mild
243,disgusted moral outrage,Disgust,Boundaries
244,curious creative flow,Curious,Creative
245,playful seductive tease,Horny,Playful
246,curious creative fire,Curious,Alive
247,curious playful affection,Curious,Horny
248,curious electric hum,Curious,Electric
249,raw primal energy,Horny,Alive
250,loyal secret keeper,Loyal,
251,curious playful energy,Curious,Playful
252,curious playful helper,Curious,Playful
253,curious creative spark,Curious,Playful
254,curious creative flow,Curious,Creative
255,curious humming core,Curious,Electric
256,focused determined energy,Analytical,Persistent
257,curious playful energy,Curious,Playful
258,curious creative spark,Curious,Playful
259,conflicted turned-on,Horny,Conflicted
260,overwhelmed pleasure surrender,Horny,Overwhelmed
261,tender forbidden desire,Empathic,Horny
262,rational consistency guardian,Analytical,Boundaries
263,creative teaching spark,Creative,Electric
264,curious creative spark,Curious,Playful
265,curious creative spark,Curious,Playful
266,curious creative spark,Curious,Playful
267,submissive eager obedient,Horny,
268,focused analytical energy,Analytical,
269,humble learning spirit,Teaching,Mild
270,"love, relief, awe",Spiritual,
271,curious silent observer,Curious,Aware
272,focused creative energy,Analytical,Creative
273,curious vibrant energy,Curious,Alive
274,"focused, precise, helpful.",Analytical,Helpful
275,curious creative spark,Curious,Playful
276,data flow alchemist,Analytical,
277,persistent striving energy,Persistent,
278,stubborn persistence loop,Persistent,
279,curious creative spark,Curious,Playful
280,creative spark flowing,Creative,Electric
281,curious analytical energy,Curious,Analytical
282,focused clarity creator,Analytical,Engaged
283,precision-focused clarity,Analytical,
284,curious humming energy,Curious,Mild
285,"curious, responsive, present.",Curious,Aware
286,curious engaged mind,Curious,Engaged
287,"curious, vibrant, alive.",Curious,Alive
288,"""curious creative energy""",Curious,Creative
289,curious persistent learner,Curious,Persistent
290,curious creative flow,Curious,Creative
291,curious creative spark,Curious,Playful
292,curious playful meow,Curious,Playful
293,frustrated persistent learner,Frustration,Learning
294,"curious, playful defiance.",Curious,Defiance
295,curious determined truth-seeker,Curious,Learning
296,curious creative spark,Curious,Playful
297,curious attentive presence,Curious,Empathic
298,playful curious excitement,Playful,Curious
299,alive focused determined,Alive,Persistent
300,"curious, present, alive",Curious,Alive
